trial_id,K,geometry,PDOP,RMSE
0,9,clustered,58.281867115625154,87.56489284192702
1,9,clustered,66.76768034380312,100.05677042728996
2,9,clustered,40.12487503427776,56.48011852285723
3,9,clustered,39.48619989306936,61.552510840549694
4,9,clustered,73.62622620748932,112.31284841859609
5,9,clustered,112.54251092071972,165.6327566788553
6,9,clustered,30.82327713694603,45.292291478030364
7,9,clustered,35.633912471569666,54.19294226730326
8,9,clustered,46.576517669569,69.72531951675289
9,9,clustered,70.00243014675074,98.24535092685706
10,9,clustered,37.24770093814267,59.710276158564525
11,9,clustered,54.39956844401362,81.63079733901101
12,9,clustered,80.06565037463187,116.29791851045731
13,9,clustered,70.5076503602728,108.43404786135171
14,9,clustered,49.198477099202904,70.24213040059728
15,9,clustered,31.67597488788773,48.99720783366625
16,9,clustered,115.48286306280033,175.0032085900185
17,9,clustered,32.19094637835368,47.99157663469095
18,9,clustered,59.059202307362156,86.21546821494162
19,9,clustered,62.241442829150365,96.82031313314151
20,9,clustered,48.71267462734795,69.79640392643252
21,9,clustered,64.23228361877169,100.6388257130795
22,9,clustered,156.17739354580792,251.5838234968591
23,9,clustered,62.56115736939584,89.66717270106223
24,9,clustered,677.0161895137945,1001.1895503320436
25,9,clustered,35.86140510244512,51.90157124599087
26,9,clustered,59.51009033999034,91.07319136359644
27,9,clustered,64.44243437520753,98.23953525094363
28,9,clustered,47.35286019669743,68.5158721709832
29,9,clustered,27.85014146342585,41.133605429246
30,9,random,7.126853927120801,10.410611982616926
31,9,random,6.804911101162002,10.605576658127982
32,9,random,7.064735501679635,10.537792128110969
33,9,random,6.058155677687877,9.42612244070023
34,9,random,23.502270092756763,34.53456259812448
35,9,random,27.564206755030188,40.412703635918604
36,9,random,6.120577820674931,9.245578908871112
37,9,random,8.83850102319387,13.808566030029178
38,9,random,17.80093409556696,25.994934383561283
39,9,random,6.396409778426983,9.513683569613981
40,9,random,10.06650099840502,14.578536263433126
41,9,random,6.323276721969257,10.109908485163695
42,9,random,12.764211535977648,19.46308303384473
43,9,random,4.0113958490502295,6.097703439678925
44,9,random,5.7689051175388,8.519645725889228
45,9,random,5.950216922865201,9.231043409378136
46,9,random,3.9439149247943948,5.9258037608253895
47,9,random,7.197268847816704,10.150524154872162
48,9,random,14.435364080654328,21.31546647122786
49,9,random,13.061625300564238,19.053343674827026
50,9,random,8.514079450780963,13.06927259099223
51,9,random,4.98012665282863,7.4953332644159065
52,9,random,6.083883004553803,8.93161351732519
53,9,random,14.63809925218955,22.616673903274766
54,9,random,141.89928041760442,211.8401226413381
55,9,random,7.276614842631631,11.213092739532513
56,9,random,7.369634329294256,10.735432352438538
